uid,title,developer,ratings,avgrating,oldest_rating,category.1,category.2,invocation,privacy_policy,tos,dynamic,guidance,flashbriefing,smarthome,price,permission.Device_Address,permission.Alexa_Notifications,permission.Amazon_Pay,permission.Device_Country_and_Postal_Code,permission.Reminders,permission.Lists_Read_Access,permission.Lists_Write_Access,permission.Location_Services,permission.Email_Address,permission.First_Name,permission.Full_Name,permission.Mobile_Number,example.1,example.2,example.3,details
B07CBWWGQT,Hotmixradio - webradios gratuites,Adn.ai,12,"3,3 sur 5",2018,"Musique, radio et audio",Services de diffusion en continu,":
        hot mix radio",,,True,True,False,False,Free,False,False,False,False,False,False,False,False,False,False,False,False,"« Alexa, ouvre Hot Mix Radio »","« Alexa, lance Hot Mix Radio »","« Alexa, joue Hot Mix Radio »","Hotmixradio est un bouquet de 20 webradios gratuites.Les titres et les artistes que vous aimez sont forcément diffusés en ce moment sur l'une des radios Hotmixradio. Choisissez votre playlist préférée : Dance, Hits, Années 80, Années 90, Rock, Funky, Lounge, Frenchy, Hip Hop, Années 60 et Années 70. Nous proposons également une webradio d'information et d'interviews des plus grands artistes."
B07PHGQHC7,Chante Sloubi,Baalius,28,"3,5 sur 5",2019,Jeux et culture générale,Jeux,":
        chante sloubi",,,True,True,False,False,Free,False,False,False,False,False,False,False,False,False,False,False,False,"« Alexa, chante sloubi »","« Alexa, ouvre c'est pas faux »","« Alexa, ouvre citation Kaamelott »","Pour tous les fans de Kaamelott, découvrez la skill Chante Sloubi sur Alexa.Alexa lance un sceau de dé, ensuite elle va chanter ""Sloubi"". Une fois qu'Alexa a fini de chanter ""Sloubi"", vous devez dire ""Rakatacmic"", si le score des dés est supérieur, ""Jeuboulin"", si le score des dés est inférieur, et ""Sloubi"", si le score des dés est égal au dernier ""Sloubi"" chanté par Alexa."
B07D32KPQQ,Rire et chansons,NRJ,5,5 sur 5,2019,"Musique, radio et audio",Services de diffusion en continu,":
        rire et chansons",,,True,False,False,False,Free,False,False,False,False,False,False,False,False,False,False,False,False,"« Alexa, allume Rire et Chansons »","« Alexa, demande à Rire et Chansons de jouer le direct »","« Alexa, demande à Rire et Chansons la liste des émissions »","A tout moment, accédez à plus de 15 radios digitales thématiques : Sketches, Nouvelle Génération, Canulars, Blagues, One woman show, Collector...Pour accéder aux différentes radios dites : ""Alexa, demande à Rire et Chansons de choisir une radio digitale"" vous pourrez alors dire ""suggestion"" pour connaître les thématiques disponibles.Retrouvez le meilleur de nos émissions :- L'appel Trop Con- Le Top de l'Actu- Marceau refait l'Info- Le Journal du Rire- 1 heure avec sur Rire et ChansonsPour accéder aux podcasts dites : ""Alexa, demande à Rire et Chansons la liste des émissions""Votre radio préférée, les meilleurs sketches: ici c'est Rire & Chansons !Avertissement : Certains programmes peuvent contenir du contenu explicite qui peut heurter la sensibilité des plus jeunes ainsi que des personnes non averties."
B07M7NVYGJ,Les citations du Seigneur des Anneaux,Staanou,22,"3,7 sur 5",2019,Cinéma et télévision,,":
        les citations du seigneur des anneaux",,,True,True,False,False,Free,False,False,False,False,False,False,False,False,False,False,False,False,"« Alexa, lance Citations du Seigneur des Anneaux »","« Alexa, ouvre Citations du Seigneur des Anneaux »","« Alexa, ça va être tout noir. »","Les meilleures citations de la trilogie du Seigneur des Anneaux de Tolkien, réalisés par Peter Jackson."
B07Q64SJGX,YI IoT Camera,上海小蚁科技有限公司,9,"1,6 sur 5",2019,Maison connectée,,,https://www.yitechnology.com/legal/privacy-policy,https://www.yitechnology.com,True,True,False,True,Free,False,False,False,False,False,False,False,False,False,False,False,False,"« Alexa, montre la caméra de la chambre »","« Alexa, montre la caméra du bureau »",,"les appareils photo sont conçus pour surveiller votre maison ou votre entreprise en toute sécurité depuis l'application YI IoT sur votre smartphoneAvec les skills YI IoT Camera et Alexa, vous pouvez désormais interagir vocalement avec vos caméras YI IoT.Pour commencer, sélectionnez le bouton «Activer» pour lier votre compte YI IoT * et découvrir vos caméras. Pour plus d'informations sur la connexion de périphériques intelligents, connectez un périphérique intelligent à Alexa: http://amzn.to/291lR7u.Lorsque vous utilisez cette skill, vous devrez créer des noms pour vos appareils. Il existe deux manières de créer ces noms:1. Utilisez les noms que vous avez précédemment configurés. Cela sera montré dans l'application YI IoT et peut être changé.2. Créez un groupe Alexa, comme chambre ou en bas, et ajoutez des appareils à ce groupe.Plus d'informations sont disponibles sur Créer un groupe d'appareils Smart Home http://amzn.to/2pIe1VqUne fois que vous connaissez le nom ou le nom du groupe pour vos appareils, vous pouvez donner des commandes telles que:"""" Alexa, montre la caméra de la chambre """""""" Alexa, montre la caméra de la cour """"* Pour utiliser cette skill, vous devez spécifier le nom de la caméra souhaitée, qui peut être trouvée et configurée dans l'application YI IoT."
B07KWDRTHG,Top chansons d'Apple Music DE Non Officiel,VoiceSkillsInc,0,,-1,Actualités,,,,,True,True,True,False,Free,False,False,False,False,False,False,False,False,False,False,False,False,"« Alexa, quel est mon flash quotidien ? »","« Alexa, quelles sont les infos ? »",,"Restez au courant des ventes et des téléchargements les plus populaires d'Apple avec Le Top 10 des chansons en Allemagne, d'Apple Music.Mis à jour automatiquement tous les jours - de sorte que vous aurez toujours les informations actuelles. Tout ce que vous avez à faire est d’ajouter cette skill à votre Flash Briefing.Si vous trouvez cette skill utile, donnez-nous une évaluation 5 étoiles."
B078HQ513D,iotty Smart Home,iotty,1,5 sur 5,2018,Maison connectée,,,https://iotty.com/fr/politique-de-confidentialite/,https://iotty.com/fr/termes-et-conditions/,True,True,False,True,Free,False,False,False,False,False,False,False,False,False,False,False,False,"« Alexa, allume la cuisine »","« Alexa, éteins la cuisine »",,"Pour utiliser Alexa avec la skill iotty dans la maison, vous devez avoir des appareils avec un interrupteur iotty.Consultez http://www.iotty.com/ pour savoir comment procéder et comment les installer rapidement chez vous en 5 minutes avec notre guide d'installation.Après cela, vous devrez vous inscrire aux services iotty en utilisant l'application mobile iotty Smart Home (actuellement disponible pour Android et iOS).Ensuite, vous pouvez utilisez votre compte iotty (email et mot de passe) pour compléter l'association de compte dans l'application compagnon Alexa.- Site Web iotty Smart Home: http://www.iotty.com/- iotty App pour Android est disponible sur Google Play: https://play.google.com/store/apps/details?id=com.dynamicait.iotty- L'application iotty pour iOS est disponible dans l'Apple Store: https://itunes.apple.com/ca/app/iotty-smart-home/id1230937401?mt=8"
B07ZQL4T1G,Actu technologie,seb,0,,-1,Lifestyle,Services à domicile,,,,True,False,True,False,Free,False,False,False,False,False,False,False,False,False,False,False,False,"« Alexa, quel est mon flash quotidien ? »","« Alexa, quelles sont les infos ? »","« Alexa, ouvre miroir miroir »",Cette skill lit les actualités technologiques.Le flux rss provient de https://www.generation-nt.com/export/rss_techno.xml
B081FK2VVN,SuiviMaladie,Faure,0,,-1,Santé et bien-être,,,,,True,False,True,False,Free,False,False,False,False,False,False,False,False,False,False,False,False,"« Alexa, quel est mon flash quotidien ? »","« Alexa, quelles sont les infos ? »","« Alexa, quel est mon flash quotidien ? »",Flux rss des fambées épidémiques de l'OMS
B07K2DRGYJ,Mémoire de Fou,Axiome,55,"3,5 sur 5",2018,Jeux et culture générale,Jeux,":
        mémoire de fou",,,True,False,False,False,Free,False,False,False,False,False,False,False,False,False,False,False,False,« Alexa ouvre Mémoire de Fou »,« Alexa lance Mémoire de Fou »,"« Alexa, lance Système solaire »","Deviens le maitre de ta propre mémoire en relevant les défis de Mémoire de Fou.Pour gagner, retrouve les couples de sons cachés derrière les chiffres et tente de débloquer des boîtes mystères qui te permettent de gagner de nouveaux sons rares ou des vies supplémentaires ! Si tu es perdu, il te suffit de demander la liste des couples restants.Découvre une grande variété de sons à collectionner. En les débloquant, tu gagnes la possibilité de les voir prendre la forme de nouveaux couples dans de nouveaux défis.Ce jeu est l’outil idéal pour garder ton cerveau alerte tous les jours. En relevant les défis, tu stimules ta mémoire et redonnes un coup de jeune à ton cerveau.Si l’expérience te plaît, fais-nous-le savoir en laissant 5 étoiles !Pour tout problème ou suggestion n’hésite pas à nous contacter : alexa.memoire.de.fou@gmail.com"
